event,event_num,scene,scene_location,theme,event_description
A1,1,A,Walking on the Street,Caterer,Larry and Jeff are walking down the street. Larry is holding a paper bag.
A2,2,A,Walking on the Street,Chevy,Jeff tells Larry that he is getting a 57 Chevy convertible from a neighbor. 
A3,3,A,Walking on the Street,Caterer,A homeless man holding a cup interrupts Larry and David and asks for spare change. Larry and Jeff responds by saying they do not have spare change and offers a tuna sandwich instead.  The homeless man refuses the tuna sandwich and says he does not like tuna Larry and Jeff are surprised that he refused and walks in a building.
B1,4,B,The David's Back Patio,Other,Larry walks through his kitchen and into the patio area and sees his wife Cheryl with her friend Julie. Larry said hi to Julie and Cheryl tells him that she is returning a movie called Sour Grapes. Cheryl asks Julie what she thought of Sour Grapes. Julie responds by saying that she enjoyed it. Larry jokes about the movie and makes facial expressions and impressions.
B2,5,B,The David's Back Patio,Dinner_Party,Julie gets up to leave and mentions the dinner party on Friday night
B3,6,B,The David's Back Patio,Caterer,Cheryl mentions that their caterer cancelled. Larry asks why the caterer cancelled and Cheryl says it is due to personal reasons. Larry suggests that Cheryl calls's Jeff's neighbor to cater the dinner
B4,7,B,The David's Back Patio,Dinner_Party,Cheryl tells Julie she cannot wait to meet Pat at the party before leaving
B5,8,B,The David's Back Patio,Caterer,Larry picks up the phone and leaves Jeff a message asking for the caterer's phone number
B6,9,B,The David's Back Patio,Other,Cheryl tells Larry that Julie liked the movie but Larry does not believe her. Larry tells Cheryl not to loan the movie out.
B7,10,B,The David's Back Patio,Dinner_Party,Larry questions why she wants to have a dinner party. Cheryl says parties are fun. Larry makes a bet with Cheryl saying that he will not like the dinner party. The bet is a blowjob in the car. 
C1,11,C,Jeff's Office,Caterer,Jeff and Larry are in Jeff's office and Jeff tells Larry that the caterer is great.
C2,12,C,Jeff's Office,Chevy,Jeff moves to the couch and tells Larry that he is disappointed that Larry did not congratulate him on his new car. Larry apologizes for not congratulating Jeff about the new car. Jeff suggests that they take the car for a drive and that Larry drives.
D1,13,D,Driving Chevy on the Street,Chevy,Jeff and Larry take the car for a drive and Jeff is impressed with the car and understands why Jeff was upset.
D2,14,D,Driving Chevy on the Street,Other,Larry asks how much it costs and Jeff says it is personal.
D3,15,D,Driving Chevy on the Street,Chevy,Larry tells Jeff to turn the radio on. Larry wants to head back but Jeff insists they continue.  An AAMCO commercial comes on the radio with two beeps. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Jeff says that it is the radio and the car hits their car. Larry keeps yelling at the car and the car drives away. Jeff yells to Larry to the the license plate number and Larry makes note of the license plate number: 4-Y-Something. Jeff is frustrated and gets out of the car to look at the damage. Larry also gets out of the car to check the damage. Jeff yells at Larry that it was the radio. Jeff gets back in his car and Larry explains the he thought the car honked at him. Jeff asks if he's ever heard of the AAMCO commercial before.
E1,16,E,Dinner Party,Dinner_Party,"At the dinner party, Larry talks to a couple who are moving from Covina to Downy. Larry tells his wife. Larry then starts talking to a couple who recently went on a cruise. At the cruise, they saw a show about Annie. Larry sees a man named Mike looking at him. They begin talking about Seinfield and Mike asks Larry if Larry gets paid for the re-runs that is still aired. "
E2,17,E,Dinner Party,Chevy,Mike makes a comment about how it will be good if he got paid for all the AAMCO transmissions and Larry thinks Cheryl told Mike about the incident. Mike says he owns 3 AAMCO stations. Larry tells Mike that Jeff got a 57 Chevy and then talks about the car accident he got into with Jeff earlier.  Mike tells Larry that he can take a look at the damaged car.
E3,18,E,Dinner Party,Dinner_Party,The caterer comes in and tells Cheryl that dinner is ready and Cheryl announces to everyone that it is dinner time. 
E4,19,E,Dinner Party,Chevy,Mike reassures Larry that he will fix the car.
E5,20,E,Dinner Party,Other,Maggie says hi. 
E6,21,E,Dinner Party,Dinner_Party,"The guests enter the dining room and Cheryl directs them to take a seat anywhere they would like. Mike takes the head of the table and Larry is surprised. Mike asks like he is the host with a prayer, speech, and cheers. Larry is annoyed and talks to the guest next to him about the move from Covina to Downy."
