subject,group,version,recall_description,event,recall_order,event_num,scene,scene_location,theme,event_description,word_count
101,older,exp2,"Okay, this was an episode of Curb Your Enthusiasm with Larry David and he started the show walking down the street with his friend Jeff. and Larry had a bag",A1,1,1.0,A,Walking on the Street,Caterer,Larry and Jeff are walking down the street. Larry is holding a paper bag.,30
101,older,exp2,that he was carrying that was actually tuna fish. ,A3,2,3.0,A,Walking on the Street,Caterer,Larry and Jeff responds by saying they do not have spare change and offers a tuna sandwich instead. ,10
101,older,exp2,and Jeff his friends said that he was going to buy a new car. it car actually was a 1957 Chevy. ,A2,3,2.0,A,Walking on the Street,Chevy,Jeff tells Larry that he is getting a 57 Chevy convertible from a neighbor.,22
101,older,exp2,"and then larry, as they were they're walking down the street, the sidewalk, a homeless person and ask him if they had change, spare change. ",A3,4,3.0,A,Walking on the Street,Caterer,A homeless man holding a cup interrupts Larry and David and asks for spare change.,26
101,older,exp2,and they go upstairs or they go to the office and they're in Jeff's office. and I guess they're just kind of talking a little bit small talk and then Jeff says he's got something Larry says he's going to go. ,other,5,,C,Jeff's Office,Other,Other,42
101,older,exp2,and then Jeff says I need to talk to you about something very important and then walks from behind his desk to sit on the couch next to Larry where Larry is lounging. and then Jeff says that he was upset or hurt because Larry didn't congratulate him on his new car and Larry was again taken aback because he didn't think it was that big a deal that he had to I guess I'd congratulate Jeff on the new car. and Jeff told those very important to him. so Larry apologized said he was sorry for not congratulating them on the new car. then Jeff says let's go for a ride and Larry said what? now? and Jeff said yeah right now let's go. and so Larry says yeah let's go.,C2,6,,C,Jeff's Office,Chevy,Jeff moves to the couch and tells Larry that he is disappointed that Larry did not congratulate him on his new car. Jeff suggests that they take the car for a drive and that Larry drives.,132
101,older,exp2,so they go outside to the car. it's a nice pretty blue 57 Chevy Bel-Air I guess with the top down convertible. and he Jeff I guess offers Larry to drive the car. So Larry is driving the car ,D1,7,,D,Driving Chevy on the Street,Chevy,Jeff and Larry take the car for a drive and Jeff is impressed with the car and understands why Jeff was upset.,40
101,older,exp2,"and going down the street and Larry stops at a stop sign a um yeah stop sign. and they're talking they have the radio on. and it commercial come on for Aamco. And as the famous slogan says double-A MCO. after the double-A goes beep beep. Larry hears the beep beep thinks it's the car behind them beeping him for stopping at the stop sign or not moving fast enough forward. So Larry turns around and starts yelling cursing at the guy behind him the guy behind him curses back. 
Jeff is in the meantime say well it was the commercial going to beep beep it was on the radio, it was a commercial. 
and Larry wasn't hearing that and then the guy behind them Rams into the back of Jeff new car, bumps him, maybe once or twice and then pulls back and then speeds off, pulls around behind or around the side of them and speeds. And [driver] is cursing at the Jeff and Larry. and then Larry and Jeff start driving forward. and the car is making this terrible noise like something's wrong with it. and always fussing there before 
so they stopped to get out. Jeff is kind of yelling at Larry It was a commercial that was the beep beep it wasn't a real horn behind them. and so I get out looking back of the car, and Jeff is kind of upset because evidentally there's some damage. 
So then Jeff gets in the car, the driver seat. and they drive off.",D3,8,,D,Driving Chevy on the Street,Chevy,Larry tells Jeff to turn the radio on. Larry wants to head back but Jeff insists they continue.  An AAMCO commercial comes on the radio with two beeps. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign. Jeff says that it is the radio and the car hits their car. Larry keeps yelling at the car and the car drives away. Jeff yells to Larry to the the license plate number and Larry makes note of the license plate number: 4-Y-Something. Jeff is frustrated and gets out of the car to look at the damage. Larry also gets out of the car to check the damage. Jeff yells at Larry that it was the radio. Jeff gets back in his car and Larry explains the he thought the car honked at him. Jeff asks if he's ever heard of the AAMCO commercial before.,257
101,older,exp2,"and then I guess the next scene is they’re at home Larry's at his house with his wife Cheryl. and he walks in the house. Cheryl is there with her friend. and I can't forget her name. and they the friend it brought back a evidently movie that Larry made 
and then Larry comes in as he usually does and kind of asked her what would you think of it.  she said she enjoyed it.  and Larry's going to be obnoxious. he's eating some nuts or something. it says so he's really kind of testing her of whether or not she really enjoyed it or not. and he asked her what she enjoyed about it and I think the lady said something about the Expressions on people's faces. and Larry starts making Expressions you know like a grimace or a shocked face. and then Cheryl’s friend says she has to leave. ",B1,9,4.0,B,The David's Back Patio,Other,Larry walks through his kitchen and into the patio area and sees his wife Cheryl with her friend Julie. Larry said hi to Julie and Cheryl tells him that she is returning a movie called Sour Grapes. Cheryl asks Julie what she thought of Sour Grapes. Julie responds by saying that she enjoyed it. Larry jokes about the movie and makes facial expressions and impressions.,154
101,older,exp2,and then Cheryl’s friend says she has to leave. ,B2,10,5.0,B,The David's Back Patio,Dinner_Party,Julie gets up to leave and mentions the dinner party on Friday night,10
