subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
999,A,14,0,1,,,,,,,11,0,5,,,,,,
999,B,44,0,0,,,,,,,40,0,10,,,,,,
999,C,18,0,2,,,,,,,10,0,6,,,,,,
999,D,37,0,5,,,,,,,20,2,3,,,,,,
999,E,47,1,3,,,,,,,35,2,4,,,,,,
999,F,6,0,0,,,,,,,4,0,0,,,,,,
999,G,38,0,0,,,,,,,27,0,3,,,,,,
999,H,9,0,0,,,,,,,7,0,0,,,,,,
999,I,10,0,0,,,,,,,7,0,1,,,,,,
999,J,22,0,0,,,,,,,17,0,0,,,,,,
999,K,0,0,0,,,,,,,0,0,0,,,,,,
999,L,9,0,1,,,,,,,4,0,1,,,,,,
999,Either,0,0,0,0,5,19,0,0,0,2,0,1,1,8,19,1,0,Character switch with Maggie
999,Integrated,1,0,0,,,,,,,3,0,0,,,,,,
201,A,14,0,0,,,,,,,10,0,1,,,,,,
201,B,9,1,0,,,,,,,5,4,0,,,,,,
201,C,15,0,0,,,,,,,12,0,0,,,,,,
201,D,22,0,3,,,,,,,20,0,2,,,,,,
201,E,18,1,0,,,,,,,12,1,0,,,,,,
201,F,4,0,0,,,,,,,2,0,0,,,,,,
201,G,34,0,0,,,,,,,25,0,0,,,,,,
201,H,7,0,0,,,,,,,12,0,0,,,,,,
201,I,4,0,3,,,,,,,5,0,0,,,,,,
201,J,0,0,0,,,,,,,0,0,0,,,,,,
201,K,15,1,1,,,,,,,18,0,2,,,,,,
201,L,7,0,1,,,,,,,3,2,0,,,,,,
201,Either,0,0,0,4,1,40,1,0,character switch with the caterer's assistant,3,1,0,6,3,40,1,0,character switch with caterer's assistant
201,Integrated,5,0,0,,,,,,,0,3,0,,,,,,
202,A,15,0,0,,,,,,,11,1,1,,,,,,
202,B,31,0,0,,,,,,,25,0,1,,,,,,
202,C,7,0,0,,,,,,,7,0,0,,,,,,
202,D,27,0,3,,,,,,,21,0,1,,,,,,
202,E,39,0,2,,,,,,,24,0,3,,,,,,
202,F,0,0,0,,,,,,,3,0,0,,,,,,
202,G,19,0,0,,,,,,,14,0,0,,,,,,
202,H,8,0,0,,,,,,,7,0,0,,,,,,
202,I,4,0,0,,,,,,,2,0,1,,,,,,
202,J,0,0,0,,,,,,,0,0,0,,,,,,
202,K,16,0,2,,,,,,,14,0,1,,,,,,
202,L,8,0,0,,,,,,,7,0,0,,,,,,
202,Either,0,0,0,12,1,64,0,0,0,2,1,0,10,1,56,1,0,character switch with larry
202,Integrated,1,0,0,,,,,,,0,0,0,,,,,,
203,A,5,0,1,,,,,,,6,0,1,,,,,,
203,B,14,1,1,,,,,,,12,1,2,,,,,,
203,C,12,0,1,,,,,,,11,0,2,,,,,,
203,D,20,1,0,,,,,,,17,0,3,,,,,,
203,E,11,1,1,,,,,,,6,0,1,,,,,,
203,F,0,0,0,,,,,,,0,0,0,,,,,,
203,G,20,0,0,,,,,,,15,1,0,,,,,,
203,H,4,0,0,,,,,,,7,1,0,,,,,,
203,I,4,0,1,,,,,,,2,0,2,,,,,,
203,J,23,1,0,,,,,,,18,2,1,,,,,,
203,K,0,0,0,,,,,,,1,0,0,,,,,,
203,L,0,0,0,,,,,,,0,0,0,,,,,,
203,Either,0,0,0,4,2,32,0,0,0,2,2,0,1,5,28,6,1,
203,Integrated,3,0,0,,,,,,,6,0,0,,,,,,
204,A,8,0,2,,,,,,,8,0,2,,,,,,
204,B,16,0,0,,,,,,,16,0,0,,,,,,
204,C,0,0,0,,,,,,,0,0,0,,,,,,
204,D,10,0,0,,,,,,,9,0,0,,,,,,
204,E,9,0,0,,,,,,,3,0,0,,,,,,
204,F,0,0,0,,,,,,,0,0,0,,,,,,
204,G,5,0,0,,,,,,,13,0,0,,,,,,
